,0
5,0.43826717985922736
6,0.45559345081470154
7,0.4519747998862214
8,0.45985713052748844
9,0.46993486427205194
10,0.46366352850633535
11,0.4717811861617642
12,0.4732985434282902
13,0.47270517732501466
14,0.4700233775721786
15,0.4731409190688037
16,0.47062880926977735
17,0.4830970197832985
18,0.48696013359665813
19,0.4742274775199585
20,0.4953968573342979
21,0.486125897535701
22,0.48139245605714076
23,0.486421844732457
24,0.4879730986380791
25,0.4955203250019303
26,0.49258262432713035
27,0.4850016513433027
28,0.49495686686228363
29,0.492944125989289
30,0.4941326259511385
31,0.49179901097037315
32,0.49704068744300534
33,0.4987113898137633
34,0.4943540301967797
35,0.5030636938369728
36,0.5012664303180023
37,0.4985145806532856
38,0.4919277287395277
39,0.4989674193384923
40,0.5012741506678816
41,0.4995691554806274
42,0.4965304742318862
43,0.4993224635110567
44,0.5022032096075003
45,0.502212691190702
46,0.498321226129978
47,0.5028267293265772
48,0.4930206676873062
49,0.4875746046723977
50,0.49673076836580354
